danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.708,0.418,0,-10.998,1,0.368,0.308,0.093,0.1,0.578,131.926,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4
0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,audio_features,2qxmye6gAegTMjLKEBoR3d,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354,4
0.888,0.395,8,-14.645,1,0.324,0.752,0.14,0.106,0.162,120.058,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4
0.85,0.353,7,-10.267,1,0.334,0.389,6.68e-06,0.8,0.329,118.071,audio_features,3Fj47GNK2kUF0uaEDgXLaD,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,221543,4
0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,audio_features,0YammaEkYSeo9vQYZ1OwS6,spotify:track:0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,198947,4
0.928,0.646,1,-6.675,1,0.211,0.0449,0,0.19,0.315,123.061,audio_features,3VC7KLsQnwLdKHRu7J6XBP,spotify:track:3VC7KLsQnwLdKHRu7J6XBP,https://api.spotify.com/v1/tracks/3VC7KLsQnwLdKHRu7J6XBP,https://api.spotify.com/v1/audio-analysis/3VC7KLsQnwLdKHRu7J6XBP,177861,4
0.904,0.462,2,-12.017,1,0.295,0.138,0,0.139,0.692,90.022,audio_features,09XOVDSIbBxBf6Kr1vGnHf,spotify:track:09XOVDSIbBxBf6Kr1vGnHf,https://api.spotify.com/v1/tracks/09XOVDSIbBxBf6Kr1vGnHf,https://api.spotify.com/v1/audio-analysis/09XOVDSIbBxBf6Kr1vGnHf,206693,4
0.889,0.729,6,-6.083,1,0.28,0.21,0,0.104,0.632,146.003,audio_features,1pNZLvVjMheeoOpuQqKDIJ,spotify:track:1pNZLvVjMheeoOpuQqKDIJ,https://api.spotify.com/v1/tracks/1pNZLvVjMheeoOpuQqKDIJ,https://api.spotify.com/v1/audio-analysis/1pNZLvVjMheeoOpuQqKDIJ,219419,4
0.629,0.581,1,-7.541,0,0.0577,0.548,0,0.127,0.388,123.982,audio_features,0m0Ew7RcwZaBS8psxgE00P,spotify:track:0m0Ew7RcwZaBS8psxgE00P,https://api.spotify.com/v1/tracks/0m0Ew7RcwZaBS8psxgE00P,https://api.spotify.com/v1/audio-analysis/0m0Ew7RcwZaBS8psxgE00P,195484,4
0.943,0.846,2,-4.025,1,0.212,0.0889,0,0.113,0.699,136.093,audio_features,3kyGlb9iNqhKJsS2WVNyzH,spotify:track:3kyGlb9iNqhKJsS2WVNyzH,https://api.spotify.com/v1/tracks/3kyGlb9iNqhKJsS2WVNyzH,https://api.spotify.com/v1/audio-analysis/3kyGlb9iNqhKJsS2WVNyzH,213841,4
0.777,0.668,5,-6.088,0,0.174,0.241,0,0.311,0.544,149.956,audio_features,7fUGWMgLzsVdID1eKoPm3b,spotify:track:7fUGWMgLzsVdID1eKoPm3b,https://api.spotify.com/v1/tracks/7fUGWMgLzsVdID1eKoPm3b,https://api.spotify.com/v1/audio-analysis/7fUGWMgLzsVdID1eKoPm3b,254000,4
0.521,0.815,6,-7.343,0,0.379,0.436,0,0.0844,0.535,157.609,audio_features,4Kqvjf6CBJBTOoMGPYtVX1,spotify:track:4Kqvjf6CBJBTOoMGPYtVX1,https://api.spotify.com/v1/tracks/4Kqvjf6CBJBTOoMGPYtVX1,https://api.spotify.com/v1/audio-analysis/4Kqvjf6CBJBTOoMGPYtVX1,214983,3
0.692,0.518,1,-9.391,1,0.0407,0.0183,0,0.284,0.326,98.02,audio_features,24mpJgP2YZUBif9NvmYyh4,spotify:track:24mpJgP2YZUBif9NvmYyh4,https://api.spotify.com/v1/tracks/24mpJgP2YZUBif9NvmYyh4,https://api.spotify.com/v1/audio-analysis/24mpJgP2YZUBif9NvmYyh4,210232,4
0.841,0.635,6,-5.616,1,0.169,0.304,0,0.0978,0.445,145.966,audio_features,5NK38OSKOCAoPxTe6sOgW9,spotify:track:5NK38OSKOCAoPxTe6sOgW9,https://api.spotify.com/v1/tracks/5NK38OSKOCAoPxTe6sOgW9,https://api.spotify.com/v1/audio-analysis/5NK38OSKOCAoPxTe6sOgW9,216100,4
0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,audio_features,3VHrwffnUZFb7FidvPV3OA,spotify:track:3VHrwffnUZFb7FidvPV3OA,https://api.spotify.com/v1/tracks/3VHrwffnUZFb7FidvPV3OA,https://api.spotify.com/v1/audio-analysis/3VHrwffnUZFb7FidvPV3OA,189052,4
0.798,0.523,11,-9.695,0,0.0328,0.207,0.000769,0.119,0.155,110.035,audio_features,4LTHcXXwN8OW4fYm5sVNPP,spotify:track:4LTHcXXwN8OW4fYm5sVNPP,https://api.spotify.com/v1/tracks/4LTHcXXwN8OW4fYm5sVNPP,https://api.spotify.com/v1/audio-analysis/4LTHcXXwN8OW4fYm5sVNPP,233109,4
0.923,0.648,1,-4.957,1,0.244,0.111,2.73e-06,0.21,0.542,119.961,audio_features,1DZn3kv6JAsqKw8iNWGWP0,spotify:track:1DZn3kv6JAsqKw8iNWGWP0,https://api.spotify.com/v1/tracks/1DZn3kv6JAsqKw8iNWGWP0,https://api.spotify.com/v1/audio-analysis/1DZn3kv6JAsqKw8iNWGWP0,173190,4
0.828,0.855,7,-5.314,1,0.135,0.155,0,0.286,0.261,128.056,audio_features,4NkKfZe4USK76vt2dVnIQ8,spotify:track:4NkKfZe4USK76vt2dVnIQ8,https://api.spotify.com/v1/tracks/4NkKfZe4USK76vt2dVnIQ8,https://api.spotify.com/v1/audio-analysis/4NkKfZe4USK76vt2dVnIQ8,202528,4
0.704,0.521,1,-6.271,1,0.135,0.139,0,0.0998,0.358,139.821,audio_features,27OWNTEEtJCFVejrh5mqgv,spotify:track:27OWNTEEtJCFVejrh5mqgv,https://api.spotify.com/v1/tracks/27OWNTEEtJCFVejrh5mqgv,https://api.spotify.com/v1/audio-analysis/27OWNTEEtJCFVejrh5mqgv,172609,4
0.788,0.497,11,-10.964,0,0.151,0.37,4.5e-06,0.0939,0.339,130.02,audio_features,0R0o8uOkDz40XsR6uwThfQ,spotify:track:0R0o8uOkDz40XsR6uwThfQ,https://api.spotify.com/v1/tracks/0R0o8uOkDz40XsR6uwThfQ,https://api.spotify.com/v1/audio-analysis/0R0o8uOkDz40XsR6uwThfQ,222928,4
0.719,0.826,9,-3.319,1,0.0297,0.0652,0.000684,0.314,0.586,114.026,audio_features,79sYvkdnJGFrYx67nBL5Nk,spotify:track:79sYvkdnJGFrYx67nBL5Nk,https://api.spotify.com/v1/tracks/79sYvkdnJGFrYx67nBL5Nk,https://api.spotify.com/v1/audio-analysis/79sYvkdnJGFrYx67nBL5Nk,210931,4
0.83,0.515,6,-5.942,0,0.424,0.129,0,0.1,0.692,95.209,audio_features,5Y3ZTBwRNrgj3AlXYASvDe,spotify:track:5Y3ZTBwRNrgj3AlXYASvDe,https://api.spotify.com/v1/tracks/5Y3ZTBwRNrgj3AlXYASvDe,https://api.spotify.com/v1/audio-analysis/5Y3ZTBwRNrgj3AlXYASvDe,222329,4
0.772,0.716,5,-4.454,1,0.219,0.109,2.3e-05,0.0746,0.388,140.07,audio_features,3qOxkhNytyb6ifxNzxxULn,spotify:track:3qOxkhNytyb6ifxNzxxULn,https://api.spotify.com/v1/tracks/3qOxkhNytyb6ifxNzxxULn,https://api.spotify.com/v1/audio-analysis/3qOxkhNytyb6ifxNzxxULn,226768,4
0.756,0.606,2,-8.74,1,0.273,0.129,0,0.128,0.372,120.277,audio_features,4GjIoWGPLf7C8LcjK1UNlS,spotify:track:4GjIoWGPLf7C8LcjK1UNlS,https://api.spotify.com/v1/tracks/4GjIoWGPLf7C8LcjK1UNlS,https://api.spotify.com/v1/audio-analysis/4GjIoWGPLf7C8LcjK1UNlS,283200,4
0.867,0.583,4,-8.782,0,0.359,0.18,5.05e-05,0.147,0.451,90.017,audio_features,3AXScNtH6Ywywwma6u8h95,spotify:track:3AXScNtH6Ywywwma6u8h95,https://api.spotify.com/v1/tracks/3AXScNtH6Ywywwma6u8h95,https://api.spotify.com/v1/audio-analysis/3AXScNtH6Ywywwma6u8h95,183337,4
0.533,0.541,6,-7.854,1,0.0252,0.217,4.39e-06,0.11,0.335,144.135,audio_features,5CaKpl8JB1FMCbsgh0sgO8,spotify:track:5CaKpl8JB1FMCbsgh0sgO8,https://api.spotify.com/v1/tracks/5CaKpl8JB1FMCbsgh0sgO8,https://api.spotify.com/v1/audio-analysis/5CaKpl8JB1FMCbsgh0sgO8,197967,4
0.773,0.672,8,-5.493,0,0.0684,0.601,3.7e-06,0.139,0.247,110.014,audio_features,31EltOuKi4PBBExtTTO00s,spotify:track:31EltOuKi4PBBExtTTO00s,https://api.spotify.com/v1/tracks/31EltOuKi4PBBExtTTO00s,https://api.spotify.com/v1/audio-analysis/31EltOuKi4PBBExtTTO00s,241091,4
