danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,audio_features,6VTbbVjKOC2qWagIDbkJrC,spotify:track:6VTbbVjKOC2qWagIDbkJrC,https://api.spotify.com/v1/tracks/6VTbbVjKOC2qWagIDbkJrC,https://api.spotify.com/v1/audio-analysis/6VTbbVjKOC2qWagIDbkJrC,215747,4
0.627,0.696,3,-9.733,1,0.0518,0.119,0.00648,0.179,0.853,175.299,audio_features,7ItZM6DMZE2m1X7yIaRxjq,spotify:track:7ItZM6DMZE2m1X7yIaRxjq,https://api.spotify.com/v1/tracks/7ItZM6DMZE2m1X7yIaRxjq,https://api.spotify.com/v1/audio-analysis/7ItZM6DMZE2m1X7yIaRxjq,118227,4
0.678,0.683,5,-5.418,1,0.167,0.389,0,0.135,0.842,85.969,audio_features,533NW3XHuW3MjO4vLqY2iV,spotify:track:533NW3XHuW3MjO4vLqY2iV,https://api.spotify.com/v1/tracks/533NW3XHuW3MjO4vLqY2iV,https://api.spotify.com/v1/audio-analysis/533NW3XHuW3MjO4vLqY2iV,162093,4
0.626,0.535,9,-4.441,1,0.0443,0.85,0,0.0561,0.671,108.804,audio_features,47O5lXcK78Z3TIiGzuc18l,spotify:track:47O5lXcK78Z3TIiGzuc18l,https://api.spotify.com/v1/tracks/47O5lXcK78Z3TIiGzuc18l,https://api.spotify.com/v1/audio-analysis/47O5lXcK78Z3TIiGzuc18l,144200,4
0.522,0.901,4,-8.549,1,0.0479,0.535,8.47e-06,0.176,0.916,166.886,audio_features,3QUGcs2wxh0hs1cpQYejSf,spotify:track:3QUGcs2wxh0hs1cpQYejSf,https://api.spotify.com/v1/tracks/3QUGcs2wxh0hs1cpQYejSf,https://api.spotify.com/v1/audio-analysis/3QUGcs2wxh0hs1cpQYejSf,131200,4
0.681,0.69,7,-11.519,1,0.18,0.317,0.00018,0.24,0.622,178.71,audio_features,5PZf7EZr7GfkOAgeEcsqPa,spotify:track:5PZf7EZr7GfkOAgeEcsqPa,https://api.spotify.com/v1/tracks/5PZf7EZr7GfkOAgeEcsqPa,https://api.spotify.com/v1/audio-analysis/5PZf7EZr7GfkOAgeEcsqPa,134107,4
0.584,0.743,8,-7.039,0,0.0463,0.766,0,0.319,0.815,132.747,audio_features,1VI29k31nGdasgJ8BBpPu8,spotify:track:1VI29k31nGdasgJ8BBpPu8,https://api.spotify.com/v1/tracks/1VI29k31nGdasgJ8BBpPu8,https://api.spotify.com/v1/audio-analysis/1VI29k31nGdasgJ8BBpPu8,135773,4
0.562,0.414,7,-9.984,1,0.0293,0.297,0,0.848,0.961,143.27,audio_features,0STUX1dMWvC7RsyOTTgqxt,spotify:track:0STUX1dMWvC7RsyOTTgqxt,https://api.spotify.com/v1/tracks/0STUX1dMWvC7RsyOTTgqxt,https://api.spotify.com/v1/audio-analysis/0STUX1dMWvC7RsyOTTgqxt,136947,4
0.458,0.89,10,-5.736,1,0.0841,0.725,0,0.833,0.609,137.382,audio_features,4J7VWj4ibCSw3tCiRKpypm,spotify:track:4J7VWj4ibCSw3tCiRKpypm,https://api.spotify.com/v1/tracks/4J7VWj4ibCSw3tCiRKpypm,https://api.spotify.com/v1/audio-analysis/4J7VWj4ibCSw3tCiRKpypm,272560,4
0.53,0.579,4,-8.451,1,0.0324,0.209,0,0.0546,0.95,156.63,audio_features,5GVhFvXo4Q3LfM1gZi46F5,spotify:track:5GVhFvXo4Q3LfM1gZi46F5,https://api.spotify.com/v1/tracks/5GVhFvXo4Q3LfM1gZi46F5,https://api.spotify.com/v1/audio-analysis/5GVhFvXo4Q3LfM1gZi46F5,154307,4
0.582,0.517,5,-9.325,1,0.0367,0.603,0,0.302,0.833,83.682,audio_features,03s6E0lAvmx8TCwDfdgjM1,spotify:track:03s6E0lAvmx8TCwDfdgjM1,https://api.spotify.com/v1/tracks/03s6E0lAvmx8TCwDfdgjM1,https://api.spotify.com/v1/audio-analysis/03s6E0lAvmx8TCwDfdgjM1,179467,4
0.541,0.199,8,-11.679,1,0.0286,0.975,1.03e-05,0.103,0.519,72.767,audio_features,2NuMeCS2NXS2RZIS9f9U86,spotify:track:2NuMeCS2NXS2RZIS9f9U86,https://api.spotify.com/v1/tracks/2NuMeCS2NXS2RZIS9f9U86,https://api.spotify.com/v1/audio-analysis/2NuMeCS2NXS2RZIS9f9U86,176133,4
0.445,0.364,6,-15.126,1,0.0515,0.744,0,0.279,0.586,82.826,audio_features,6KVCLHNM9xcMStyK3rZAch,spotify:track:6KVCLHNM9xcMStyK3rZAch,https://api.spotify.com/v1/tracks/6KVCLHNM9xcMStyK3rZAch,https://api.spotify.com/v1/audio-analysis/6KVCLHNM9xcMStyK3rZAch,148867,4
0.606,0.407,9,-9.128,1,0.243,0.8,0,0.232,0.654,198.773,audio_features,3Z2roouK8msGtMXAS7xWCJ,spotify:track:3Z2roouK8msGtMXAS7xWCJ,https://api.spotify.com/v1/tracks/3Z2roouK8msGtMXAS7xWCJ,https://api.spotify.com/v1/audio-analysis/3Z2roouK8msGtMXAS7xWCJ,171187,4
0.461,0.271,7,-10.441,1,0.0606,0.846,0,0.12,0.425,166.282,audio_features,6ofvy4eMivKYNRi4EaDlsF,spotify:track:6ofvy4eMivKYNRi4EaDlsF,https://api.spotify.com/v1/tracks/6ofvy4eMivKYNRi4EaDlsF,https://api.spotify.com/v1/audio-analysis/6ofvy4eMivKYNRi4EaDlsF,148040,5
0.752,0.494,3,-6.641,1,0.194,0.772,0,0.138,0.626,72.921,audio_features,2OAsFRAmucWOnnJLTV72C1,spotify:track:2OAsFRAmucWOnnJLTV72C1,https://api.spotify.com/v1/tracks/2OAsFRAmucWOnnJLTV72C1,https://api.spotify.com/v1/audio-analysis/2OAsFRAmucWOnnJLTV72C1,155520,4
0.565,0.962,8,-2.981,1,0.064,0.437,0,0.056,0.906,148.808,audio_features,5t4jCQRoGMwygy7uPpCxfp,spotify:track:5t4jCQRoGMwygy7uPpCxfp,https://api.spotify.com/v1/tracks/5t4jCQRoGMwygy7uPpCxfp,https://api.spotify.com/v1/audio-analysis/5t4jCQRoGMwygy7uPpCxfp,160227,4
0.518,0.464,5,-8.152,1,0.0303,0.914,0.00122,0.113,0.312,87.768,audio_features,4PAXtmaXMPHyO2DL9kMnSq,spotify:track:4PAXtmaXMPHyO2DL9kMnSq,https://api.spotify.com/v1/tracks/4PAXtmaXMPHyO2DL9kMnSq,https://api.spotify.com/v1/audio-analysis/4PAXtmaXMPHyO2DL9kMnSq,200200,3
0.516,0.488,7,-7.986,1,0.0313,0.717,0,0.189,0.603,115.921,audio_features,5j59DZqKFa8ogdnfia3yJW,spotify:track:5j59DZqKFa8ogdnfia3yJW,https://api.spotify.com/v1/tracks/5j59DZqKFa8ogdnfia3yJW,https://api.spotify.com/v1/audio-analysis/5j59DZqKFa8ogdnfia3yJW,155360,3
0.619,0.807,6,-4.855,1,0.0384,0.488,0.163,0.306,0.584,152.812,audio_features,7EhteXJySTEQt69JdLHTOZ,spotify:track:7EhteXJySTEQt69JdLHTOZ,https://api.spotify.com/v1/tracks/7EhteXJySTEQt69JdLHTOZ,https://api.spotify.com/v1/audio-analysis/7EhteXJySTEQt69JdLHTOZ,132293,4
0.526,0.608,5,-6.855,1,0.0468,0.703,0,0.438,0.723,131.851,audio_features,0PGswD1AWWCBo2WfkCwX7N,spotify:track:0PGswD1AWWCBo2WfkCwX7N,https://api.spotify.com/v1/tracks/0PGswD1AWWCBo2WfkCwX7N,https://api.spotify.com/v1/audio-analysis/0PGswD1AWWCBo2WfkCwX7N,151253,4
0.546,0.571,4,-9.126,1,0.0368,0.578,0,0.394,0.856,142.345,audio_features,1lbJDIdL1ZidJLhImYNlgR,spotify:track:1lbJDIdL1ZidJLhImYNlgR,https://api.spotify.com/v1/tracks/1lbJDIdL1ZidJLhImYNlgR,https://api.spotify.com/v1/audio-analysis/1lbJDIdL1ZidJLhImYNlgR,154480,4
0.4,0.681,6,-3.406,0,0.0327,0.514,0,0.625,0.635,63.996,audio_features,6vgI88J33XNI6CKPCMlogc,spotify:track:6vgI88J33XNI6CKPCMlogc,https://api.spotify.com/v1/tracks/6vgI88J33XNI6CKPCMlogc,https://api.spotify.com/v1/audio-analysis/6vgI88J33XNI6CKPCMlogc,130320,4
0.502,0.359,7,-12.486,0,0.0447,0.713,0,0.34,0.44,139.498,audio_features,3GIixs50vvFdYbBjNXWqDd,spotify:track:3GIixs50vvFdYbBjNXWqDd,https://api.spotify.com/v1/tracks/3GIixs50vvFdYbBjNXWqDd,https://api.spotify.com/v1/audio-analysis/3GIixs50vvFdYbBjNXWqDd,168867,4
0.903,0.554,5,-9.489,1,0.0665,0.807,0,0.257,0.949,110.619,audio_features,5W22vz1pgNdwHO68Onf6bt,spotify:track:5W22vz1pgNdwHO68Onf6bt,https://api.spotify.com/v1/tracks/5W22vz1pgNdwHO68Onf6bt,https://api.spotify.com/v1/audio-analysis/5W22vz1pgNdwHO68Onf6bt,132824,4
0.84,0.593,5,-9.531,1,0.038,0.841,0.00143,0.105,0.755,105.666,audio_features,20R4u9NYkaNQ26vYBMiSTm,spotify:track:20R4u9NYkaNQ26vYBMiSTm,https://api.spotify.com/v1/tracks/20R4u9NYkaNQ26vYBMiSTm,https://api.spotify.com/v1/audio-analysis/20R4u9NYkaNQ26vYBMiSTm,163226,4
0.187,0.318,5,-8.854,1,0.0299,0.89,0.00429,0.105,0.112,81.298,audio_features,1tymYDXq8PqK37LoOM9Dbd,spotify:track:1tymYDXq8PqK37LoOM9Dbd,https://api.spotify.com/v1/tracks/1tymYDXq8PqK37LoOM9Dbd,https://api.spotify.com/v1/audio-analysis/1tymYDXq8PqK37LoOM9Dbd,208640,4
0.376,0.899,8,-4.521,1,0.0948,0.519,3.2e-06,0.238,0.93,190.003,audio_features,5zBG9YTTnvaVnEYxe2o08p,spotify:track:5zBG9YTTnvaVnEYxe2o08p,https://api.spotify.com/v1/tracks/5zBG9YTTnvaVnEYxe2o08p,https://api.spotify.com/v1/audio-analysis/5zBG9YTTnvaVnEYxe2o08p,156970,4
